ISO3,Country,Population,PopulationDensity
ROU,Romania,19364558,84.132
RUS,Russian Federation,145872260,8.907
RWA,Rwanda,12626938,511.834
REU,Réunion,888932,355.5730000000001
BLM,Saint Barthélemy,9853,447.864
SHN,Saint Helena,6061,15.541
KNA,Saint Kitts and Nevis,52833,203.208
LCA,Saint Lucia,182795,299.664
MAF,Saint Martin (French part),38001,717.0189999999999
SPM,Saint Pierre and Miquelon,5821,25.309
VCT,Saint Vincent and the Grenadines,110592,283.572
WSM,Samoa,197093,69.64399999999999
SMR,San Marino,33864,564.4
STP,Sao Tome and Principe,215048,224.008
SAU,Saudi Arabia,34268529,15.941
SEN,Senegal,16296362,84.64299999999999
SRB,Serbia,8772228,100.3
SYC,Seychelles,97741,212.48
SLE,Sierra Leone,7813206,108.246
SGP,Singapore,5804343,8291.919
SXM,Sint Maarten (Dutch part),42388,1246.735
SVK,Slovakia,5457012,113.48
SVN,Slovenia,2078654,103.21
SLB,Solomon Islands,669821,23.931
SOM,Somalia,15442906,24.616
ZAF,South Africa,58558267,48.272
SSD,South Sudan,11062114,18.106
ESP,Spain,46736782,93.698
LKA,Sri Lanka,21323734,340.037
PSE,State of Palestine,4981422,827.4789999999998
SDN,Sudan,42813237,24.256
SUR,Suriname,581363,3.727
SWE,Sweden,10036391,24.459
CHE,Switzerland,8591360,217.415
SYR,Syrian Arab Republic,17070131,92.959
TJK,Tajikistan,9321023,66.598
THA,Thailand,69625580,136.283
TLS,Timor-Leste,1293120,86.962
TGO,Togo,8082359,148.6
TKL,Tokelau,1330,133.0
TON,Tonga,104497,145.135
TTO,Trinidad and Tobago,1394969,271.92400000000004
TUN,Tunisia,11694721,75.275
TUR,Turkey,83429607,108.402
TKM,Turkmenistan,5942094,12.645
TCA,Turks and Caicos Islands,38194,40.204
TUV,Tuvalu,11655,388.5
UGA,Uganda,44269587,221.558
UKR,Ukraine,43993643,75.94
ARE,United Arab Emirates,9770526,116.872
GBR,United Kingdom,67530161,279.131
TZA,United Republic of Tanzania,58005460,65.484
VIR,United States Virgin Islands,104579,298.797
USA,United States of America,329064917,35.97400000000001
URY,Uruguay,3461731,19.779
UZB,Uzbekistan,32981714,77.531
VUT,Vanuatu,299882,24.601
VEN,Venezuela (Bolivarian Republic of),28515828,32.329
VNM,Viet Nam,96462108,311.098
WLF,Wallis and Futuna Islands,11436,81.686
ESH,Western Sahara,582458,2.19
YEM,Yemen,29161922,55.234
ZMB,Zambia,17861034,24.026
ZWE,Zimbabwe,14645473,37.858
